mac_add,created_time
60:01:94:0f:a0:89,2016-12-07 00:13:00.000
60:01:94:0f:a4:39,2016-12-07 00:13:00.000
6e:45:fe:da:5f:27,2016-12-07 00:13:00.000
8a:15:04:55:9c:40,2016-12-07 00:13:00.000
b4:29:3d:01:85:fc,2016-12-07 00:13:00.000
b4:29:3d:01:85:fe,2016-12-07 00:13:00.000
b4:29:3d:01:86:00,2016-12-07 00:13:00.000
bc:3a:ea:74:40:53,2016-12-07 00:13:00.000
cc:44:63:7f:21:07,2016-12-07 00:13:00.000
e4:95:6e:40:68:68,2016-12-07 00:13:00.000
e4:95:6e:40:68:7d,2016-12-07 00:13:00.000
e4:95:6e:40:68:f9,2016-12-07 00:13:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:13:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:13:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:13:00.000
1c:cd:e5:1e:99:78,2016-12-07 00:14:00.000
1c:e1:92:34:d7:46,2016-12-07 00:14:00.000
48:db:50:9a:88:44,2016-12-07 00:14:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:14:00.000
60:01:94:0f:9b:4e,2016-12-07 00:14:00.000
60:01:94:0f:a0:08,2016-12-07 00:14:00.000
60:01:94:0f:a0:89,2016-12-07 00:14:00.000
6e:45:fe:da:5f:27,2016-12-07 00:14:00.000
8a:15:04:55:9c:40,2016-12-07 00:14:00.000
b4:29:3d:01:85:fe,2016-12-07 00:14:00.000
b4:29:3d:01:86:00,2016-12-07 00:14:00.000
bc:3a:ea:74:40:53,2016-12-07 00:14:00.000
cc:44:63:7f:21:07,2016-12-07 00:14:00.000
da:a1:19:18:49:e7,2016-12-07 00:14:00.000
da:a1:19:bf:a8:93,2016-12-07 00:14:00.000
e4:95:6e:40:68:68,2016-12-07 00:14:00.000
e4:95:6e:40:68:7d,2016-12-07 00:14:00.000
e4:95:6e:40:68:f9,2016-12-07 00:14:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:14:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:14:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:14:00.000
14:10:9f:6a:14:a8,2016-12-07 00:15:00.000
1c:cd:e5:1e:99:78,2016-12-07 00:15:00.000
1c:e1:92:34:d7:46,2016-12-07 00:15:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:15:00.000
60:01:94:0f:9b:4e,2016-12-07 00:15:00.000
60:01:94:0f:a0:08,2016-12-07 00:15:00.000
60:01:94:0f:a0:89,2016-12-07 00:15:00.000
8a:15:04:55:9c:40,2016-12-07 00:15:00.000
b4:29:3d:01:85:fe,2016-12-07 00:15:00.000
b4:29:3d:01:86:00,2016-12-07 00:15:00.000
bc:3a:ea:74:40:53,2016-12-07 00:15:00.000
cc:44:63:7f:21:07,2016-12-07 00:15:00.000
cc:78:5f:db:ec:a7,2016-12-07 00:15:00.000
da:a1:19:40:df:93,2016-12-07 00:15:00.000
da:a1:19:af:98:4c,2016-12-07 00:15:00.000
da:a1:19:b7:a0:54,2016-12-07 00:15:00.000
da:a1:19:be:cb:7f,2016-12-07 00:15:00.000
da:a1:19:e9:9b:4f,2016-12-07 00:15:00.000
e4:95:6e:40:68:68,2016-12-07 00:15:00.000
e4:95:6e:40:68:7d,2016-12-07 00:15:00.000
e4:95:6e:40:68:f9,2016-12-07 00:15:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:15:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:15:00.000
1c:cd:e5:1e:99:78,2016-12-07 00:16:00.000
1c:e1:92:34:d7:46,2016-12-07 00:16:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:16:00.000
60:01:94:0f:9b:4e,2016-12-07 00:16:00.000
60:01:94:0f:a0:08,2016-12-07 00:16:00.000
60:01:94:0f:a0:89,2016-12-07 00:16:00.000
6e:45:fe:da:5f:27,2016-12-07 00:16:00.000
8a:15:04:55:9c:40,2016-12-07 00:16:00.000
ac:f7:f3:bf:78:ca,2016-12-07 00:16:00.000
b4:29:3d:01:86:00,2016-12-07 00:16:00.000
cc:44:63:7f:21:07,2016-12-07 00:16:00.000
e4:95:6e:40:68:68,2016-12-07 00:16:00.000
e4:95:6e:40:68:7d,2016-12-07 00:16:00.000
e4:95:6e:40:68:f9,2016-12-07 00:16:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:16:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:16:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:16:00.000
1c:e1:92:34:d7:46,2016-12-07 00:17:00.000
48:db:50:9a:88:44,2016-12-07 00:17:00.000
5c:cf:7f:21:fb:8a,2016-12-07 00:17:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:17:00.000
60:01:94:0f:9b:4e,2016-12-07 00:17:00.000
60:01:94:0f:a0:08,2016-12-07 00:17:00.000
60:01:94:0f:a0:89,2016-12-07 00:17:00.000
