country,first_name,gender,gender_id,image_URL,last_name,party
Ireland,Nessa,Female,1,http://ep.ngo.im/mepphoto/96603.jpg,CHILDERS,"NA,NI"
Greece,Nikolaos,Male,2,http://ep.ngo.im/mepphoto/26851.jpg,CHOUNTIS,GUE/NGL
Denmark,Ole,Male,2,http://ep.ngo.im/mepphoto/28154.jpg,CHRISTENSEN,S&D
Greece,Nikos,Male,2,http://ep.ngo.im/mepphoto/111823.jpg,CHRYSOGELOS,Verts/ALE
Belgium,Philip,Male,2,http://ep.ngo.im/mepphoto/24030.jpg,CLAEYS,"NA,NI"
"United Kingdom","Derek Roland",Male,2,http://ep.ngo.im/mepphoto/28493.jpg,CLARK,EFD
Romania,Minodora,Female,1,http://ep.ngo.im/mepphoto/113597.jpg,CLIVETI,S&D
France,Yves,Male,2,http://ep.ngo.im/mepphoto/1202.jpg,COCHET,Verts/ALE
Portugal,Carlos,Male,2,http://ep.ngo.im/mepphoto/1892.jpg,COELHO,PPE
Italy,"Sergio Gaetano",Male,2,http://ep.ngo.im/mepphoto/96915.jpg,COFFERATI,S&D
France,Daniel,Male,2,http://ep.ngo.im/mepphoto/1934.jpg,COHN-BENDIT,Verts/ALE
Germany,Birgit,Female,1,http://ep.ngo.im/mepphoto/112788.jpg,COLLIN-LANGEN,PPE
"United Kingdom",Trevor,Male,2,http://ep.ngo.im/mepphoto/94283.jpg,COLMAN,"NA,NI"
Italy,Lara,Female,1,http://ep.ngo.im/mepphoto/96775.jpg,COMI,PPE
Sweden,"Anna Maria",Female,1,http://ep.ngo.im/mepphoto/96674.jpg,"CORAZZA BILDT",PPE
Netherlands,Marije,Female,1,http://ep.ngo.im/mepphoto/96726.jpg,CORNELISSEN,Verts/ALE
Spain,"María Auxiliadora",Female,1,http://ep.ngo.im/mepphoto/111496.jpg,"CORREA ZAMORA",PPE
Portugal,"António Fernando",Male,2,http://ep.ngo.im/mepphoto/96975.jpg,"CORREIA DE CAMPOS",S&D
Spain,Ricardo,Male,2,http://ep.ngo.im/mepphoto/96987.jpg,"CORTÉS LASTRA",S&D
Italy,Silvia,Female,1,http://ep.ngo.im/mepphoto/96917.jpg,COSTA,S&D
Ireland,Emer,Female,1,http://ep.ngo.im/mepphoto/112071.jpg,COSTELLO,S&D
France,"Jean Louis",Male,2,http://ep.ngo.im/mepphoto/2315.jpg,COTTIGNY,S&D
Italy,Andrea,Male,2,http://ep.ngo.im/mepphoto/96880.jpg,COZZOLINO,S&D
Germany,Michael,Male,2,http://ep.ngo.im/mepphoto/28238.jpg,CRAMER,Verts/ALE
Romania,Corina,Female,1,http://ep.ngo.im/mepphoto/33997.jpg,CREŢU,S&D
Germany,Jürgen,Male,2,http://ep.ngo.im/mepphoto/96873.jpg,CREUTZMANN,ALDE
Finland,Tarja,Female,1,http://ep.ngo.im/mepphoto/107973.jpg,CRONBERG,Verts/ALE
Ireland,Brian,Male,2,http://ep.ngo.im/mepphoto/2109.jpg,CROWLEY,ALDE
Malta,Joseph,Male,2,http://ep.ngo.im/mepphoto/110984.jpg,CUSCHIERI,S&D
Romania,"George Sabin",Male,2,http://ep.ngo.im/mepphoto/96856.jpg,CUTAŞ,S&D
Poland,Tadeusz,Male,2,http://ep.ngo.im/mepphoto/96786.jpg,CYMAŃSKI,EFD
Poland,Ryszard,Male,2,http://ep.ngo.im/mepphoto/28372.jpg,CZARNECKI,ECR
Belgium,Frédéric,Male,2,http://ep.ngo.im/mepphoto/97125.jpg,DAERDEN,S&D
Netherlands,"Peter van",Male,2,http://ep.ngo.im/mepphoto/96809.jpg,DALEN,ECR
Romania,"Vasilica Viorica",Female,1,http://ep.ngo.im/mepphoto/95281.jpg,DĂNCILĂ,S&D
Greece,Spyros,Male,2,http://ep.ngo.im/mepphoto/99325.jpg,DANELLIS,S&D
France,Arnaud,Male,2,http://ep.ngo.im/mepphoto/96747.jpg,DANJEAN,PPE
France,Michel,Male,2,http://ep.ngo.im/mepphoto/97296.jpg,DANTIN,PPE
"United Kingdom","William (The Earl of)",Male,2,http://ep.ngo.im/mepphoto/96958.jpg,DARTMOUTH,EFD
France,Rachida,Female,1,http://ep.ngo.im/mepphoto/72775.jpg,DATI,PPE
France,Joseph,Male,2,http://ep.ngo.im/mepphoto/4342.jpg,DAUL,PPE
"United Kingdom",Chris,Male,2,http://ep.ngo.im/mepphoto/4554.jpg,DAVIES,ALDE
Italy,Francesco,Male,2,http://ep.ngo.im/mepphoto/96887.jpg,"DE ANGELIS",S&D
Belgium,Philippe,Male,2,http://ep.ngo.im/mepphoto/109337.jpg,"DE BACKER",ALDE
Italy,Paolo,Male,2,http://ep.ngo.im/mepphoto/96891.jpg,"DE CASTRO",S&D
Belgium,Véronique,Female,1,http://ep.ngo.im/mepphoto/22097.jpg,"DE KEYSER",S&D
Italy,Susy,Female,1,http://ep.ngo.im/mepphoto/118708.jpg,"DE MARTINI",ECR
Italy,"Luigi Ciriaco",Male,2,http://ep.ngo.im/mepphoto/1746.jpg,"DE MITA",PPE
France,Christine,Female,1,http://ep.ngo.im/mepphoto/4347.jpg,"DE VEYRAC",PPE
Belgium,Jean-Luc,Male,2,http://ep.ngo.im/mepphoto/28256.jpg,DEHAENE,PPE
France,Karima,Female,1,http://ep.ngo.im/mepphoto/96868.jpg,DELLI,Verts/ALE
Belgium,Anne,Female,1,http://ep.ngo.im/mepphoto/96914.jpg,DELVAUX,PPE
Belgium,Mark,Male,2,http://ep.ngo.im/mepphoto/117477.jpg,DEMESMAEKER,Verts/ALE
France,Harlem,Male,2,http://ep.ngo.im/mepphoto/4318.jpg,DÉSIR,S&D
