Area,Age,Sex,Value
Bay of Plenty region,80-84 Years,Male,3020
Gisborne region,80-84 Years,Male,370
Hawke's Bay region,80-84 Years,Male,1600
Taranaki region,80-84 Years,Male,1130
Manawatu-Wanganui region,80-84 Years,Male,2310
Wellington region,80-84 Years,Male,3760
Tasman region,80-84 Years,Male,540
Nelson region,80-84 Years,Male,500
Marlborough region,80-84 Years,Male,540
West Coast region,80-84 Years,Male,320
Canterbury region,80-84 Years,Male,5150
Otago region,80-84 Years,Male,1980
Northland region,85 Years and over,Male,1310
Northland region,85 Years and over,Female,2040
Otago region,80-84 Years,Female,2390
Canterbury region,80-84 Years,Female,6520
West Coast region,80-84 Years,Female,340
Marlborough region,80-84 Years,Female,640
Nelson region,80-84 Years,Female,660
Tasman region,80-84 Years,Female,540
Wellington region,80-84 Years,Female,4790
Manawatu-Wanganui region,80-84 Years,Female,3000
Hawke's Bay region,80-84 Years,Female,2000
Taranaki region,80-84 Years,Female,1440
Gisborne region,80-84 Years,Female,490
Bay of Plenty region,80-84 Years,Female,3620
Waikato region,80-84 Years,Female,4530
Auckland region,80-84 Years,Female,11960
Southland region,75-79 Years,Female,1540
Northland region,80-84 Years,Female,1940
Otago region,75-79 Years,Female,3220
West Coast region,75-79 Years,Female,500
Canterbury region,75-79 Years,Female,8760
Nelson region,75-79 Years,Female,840
Marlborough region,75-79 Years,Female,840
Tasman region,75-79 Years,Female,830
Wellington region,75-79 Years,Female,6620
Manawatu-Wanganui region,75-79 Years,Female,3960
Taranaki region,75-79 Years,Female,1870
Gisborne region,75-79 Years,Female,660
Hawke's Bay region,75-79 Years,Female,2700
Bay of Plenty region,75-79 Years,Female,5140
Waikato region,75-79 Years,Female,6290
Southland region,70-74 Years,Female,1850
Auckland region,75-79 Years,Female,17310
Northland region,75-79 Years,Female,2910
Otago region,70-74 Years,Female,4270
Canterbury region,70-74 Years,Female,11190
West Coast region,70-74 Years,Female,710
Marlborough region,70-74 Years,Female,1270
Nelson region,70-74 Years,Female,1130
Tasman region,70-74 Years,Female,1210
Wellington region,70-74 Years,Female,8790
Manawatu-Wanganui region,70-74 Years,Female,5070
Taranaki region,70-74 Years,Female,2320
Hawke's Bay region,70-74 Years,Female,3530
Gisborne region,70-74 Years,Female,840
Bay of Plenty region,70-74 Years,Female,6910
Waikato region,70-74 Years,Female,8740
Auckland region,70-74 Years,Female,23720
Southland region,65-69 Years,Female,2480
Northland region,70-74 Years,Female,4060
Otago region,65-69 Years,Female,5840
Canterbury region,65-69 Years,Female,15220
West Coast region,65-69 Years,Female,930
Marlborough region,65-69 Years,Female,1650
Nelson region,65-69 Years,Female,1610
Tasman region,65-69 Years,Female,1750
Wellington region,65-69 Years,Female,11970
Manawatu-Wanganui region,65-69 Years,Female,6510
Hawke's Bay region,65-69 Years,Female,4840
Taranaki region,65-69 Years,Female,3150
Gisborne region,65-69 Years,Female,1190
Bay of Plenty region,65-69 Years,Female,8620
Waikato region,65-69 Years,Female,11470
Auckland region,65-69 Years,Female,32810
Otago region,60-64 Years,Female,6240
Northland region,65-69 Years,Female,5450
Southland region,60-64 Years,Female,2700
Canterbury region,60-64 Years,Female,16670
Marlborough region,60-64 Years,Female,1630
West Coast region,60-64 Years,Female,1060
Tasman region,60-64 Years,Female,1870
Nelson region,60-64 Years,Female,1670
Wellington region,60-64 Years,Female,13200
Manawatu-Wanganui region,60-64 Years,Female,7050
Hawke's Bay region,60-64 Years,Female,5220
Taranaki region,60-64 Years,Female,3410
Gisborne region,60-64 Years,Female,1400
Bay of Plenty region,60-64 Years,Female,9110
Waikato region,60-64 Years,Female,12600
Auckland region,60-64 Years,Female,38820
Southland region,55-59 Years,Female,3370
Otago region,55-59 Years,Female,7200
Northland region,60-64 Years,Female,5840
Canterbury region,55-59 Years,Female,19230
West Coast region,55-59 Years,Female,1240
Marlborough region,55-59 Years,Female,1740
Nelson region,55-59 Years,Female,1870
Tasman region,55-59 Years,Female,1910
Wellington region,55-59 Years,Female,15800
Manawatu-Wanganui region,55-59 Years,Female,7990
Taranaki region,55-59 Years,Female,3970
Hawke's Bay region,55-59 Years,Female,5610
Gisborne region,55-59 Years,Female,1580
Bay of Plenty region,55-59 Years,Female,9870
Waikato region,55-59 Years,Female,14070
Auckland region,55-59 Years,Female,46000
Southland region,50-54 Years,Female,3640
Northland region,55-59 Years,Female,6380
